"DateTime","Last Month","This Month"
"2020-01-08 05:00:00",0.51,1.41
"2020-01-08 06:00:00",0.48,0.81
"2020-01-08 07:00:00",0.66,0.68
"2020-01-08 08:00:00",0.9,1.6
"2020-01-08 09:00:00",0.9,1.51
"2020-01-08 10:00:00",0.67,0.67
"2020-01-08 11:00:00",1.47,0.67
"2020-01-08 12:00:00",0.83,0.67
"2020-01-08 13:00:00",0.67,0.69
"2020-01-08 14:00:00",1.39,0.67
"2020-01-08 15:00:00",0.99,0.8
"2020-01-08 16:00:00",0.9,0.69
"2020-01-08 17:00:00",0.8,0.81
"2020-01-08 18:00:00",1.15,0.98
"2020-01-08 19:00:00",0.92,1
"2020-01-08 20:00:00",3.05,1.95
"2020-01-08 21:00:00",2.6,0.8
"2020-01-08 22:00:00",0.67,0.7
"2020-01-08 23:00:00",0.74,0.84
"2020-01-09 00:00:00",0.67,0.82
"2020-01-09 01:00:00",0.68,0.74
"2020-01-09 02:00:00",0.58,0.62
"2020-01-09 03:00:00",0.59,0.62
"2020-01-09 04:00:00",0.63,0.68
"2020-01-09 05:00:00",0.57,0.69
"2020-01-09 06:00:00",0.59,0.66
"2020-01-09 07:00:00",0.57,0.72
"2020-01-09 08:00:00",0.69,0.61
"2020-01-09 09:00:00",0.52,0.55
"2020-01-09 10:00:00",0.52,0.6
"2020-01-09 11:00:00",0.6,0.59
"2020-01-09 12:00:00",0.65,0.47
"2020-01-09 13:00:00",0.63,0.51
"2020-01-09 14:00:00",0.62,0.67
"2020-01-09 15:00:00",0.87,0.86
"2020-01-09 16:00:00",0.62,1.08
"2020-01-09 17:00:00",0.65,0.88
"2020-01-09 18:00:00",0.77,0.82
"2020-01-09 19:00:00",0.86,0.53
"2020-01-09 20:00:00",1.01,3.25
"2020-01-09 21:00:00",3.04,2.52
"2020-01-09 22:00:00",2.54,1.57
"2020-01-09 23:00:00",2.85,1.2
"2020-01-10 00:00:00",0.61,1.18
"2020-01-10 01:00:00",0.62,0.63
"2020-01-10 02:00:00",0.72,0.56
"2020-01-10 03:00:00",0.7,0.58
"2020-01-10 04:00:00",0.61,0.69
"2020-01-10 05:00:00",0.63,0.63
"2020-01-10 06:00:00",0.76,0.58
"2020-01-10 07:00:00",0.66,0.66
"2020-01-10 08:00:00",0.63,0.77
"2020-01-10 09:00:00",0.65,0.64
"2020-01-10 10:00:00",0.7,0.58
"2020-01-10 11:00:00",0.55,0.64
"2020-01-10 12:00:00",0.54,0.68
"2020-01-10 13:00:00",0.64,0.69
"2020-01-10 14:00:00",0.86,0.72
"2020-01-10 15:00:00",0.67,0.68
"2020-01-10 16:00:00",0.99,0.64
"2020-01-10 17:00:00",0.63,1.76
"2020-01-10 18:00:00",0.74,1.69
"2020-01-10 19:00:00",1.54,1.92
"2020-01-10 20:00:00",0.81,1.49
"2020-01-10 21:00:00",0.79,3.01
"2020-01-10 22:00:00",2.45,0.88
"2020-01-10 23:00:00",1.32,0.76
"2020-01-11 00:00:00",0.53,0.62
"2020-01-11 01:00:00",0.5,0.61
"2020-01-11 02:00:00",0.74,0.7
"2020-01-11 03:00:00",0.6,0.72
"2020-01-11 04:00:00",0.52,0.62
"2020-01-11 05:00:00",0.95,0.62
"2020-01-11 06:00:00",1.48,0.74
"2020-01-11 07:00:00",0.52,1.04
"2020-01-11 08:00:00",1.3,2.11
"2020-01-11 09:00:00",1.17,0.89
"2020-01-11 10:00:00",0.65,1.1
"2020-01-11 11:00:00",0.6,1.01
"2020-01-11 12:00:00",0.64,0.97
"2020-01-11 13:00:00",0.78,1.5
"2020-01-11 14:00:00",0.6,1.45
"2020-01-11 15:00:00",0.87,1.18
"2020-01-11 16:00:00",1.85,1.09
"2020-01-11 17:00:00",0.74,1.22
"2020-01-11 18:00:00",1.1,2.72
"2020-01-11 19:00:00",1.48,0.86
"2020-01-11 20:00:00",1.6,1.94
"2020-01-11 21:00:00",2.22,3.35
"2020-01-11 22:00:00",2.34,1.18
"2020-01-11 23:00:00",2.3,0.54
"2020-01-12 00:00:00",0.66,0.49
"2020-01-12 01:00:00",0.69,0.51
"2020-01-12 02:00:00",0.73,0.6
"2020-01-12 03:00:00",0.64,0.49
"2020-01-12 04:00:00",0.67,0.48
"2020-01-12 05:00:00",1.45,0.56
"2020-01-12 06:00:00",1.2,0.52
"2020-01-12 07:00:00",0.84,0.54
"2020-01-12 08:00:00",0.93,0.84
"2020-01-12 09:00:00",0.69,0.66
"2020-01-12 10:00:00",0.89,0.61
"2020-01-12 11:00:00",1.24,0.61
"2020-01-12 12:00:00",0.78,0.68
"2020-01-12 13:00:00",0.77,0.58
"2020-01-12 14:00:00",0.7,0.68
"2020-01-12 15:00:00",0.7,0.66
"2020-01-12 16:00:00",0.69,0.65
"2020-01-12 17:00:00",0.7,0.72
"2020-01-12 18:00:00",1.54,0.79
"2020-01-12 19:00:00",1.7,1.03
"2020-01-12 20:00:00",1.01,0.71
"2020-01-12 21:00:00",0.83,0.65
"2020-01-12 22:00:00",0.8,0.68
"2020-01-12 23:00:00",0.73,4.41
"2020-01-13 00:00:00",0.63,1.01
"2020-01-13 01:00:00",0.63,0.55
"2020-01-13 02:00:00",0.72,0.5
"2020-01-13 03:00:00",0.69,0.51
"2020-01-13 04:00:00",0.62,0.6
"2020-01-13 05:00:00",1.02,0.49
"2020-01-13 06:00:00",0.96,0.53
"2020-01-13 07:00:00",0.83,0.69
"2020-01-13 08:00:00",0.69,0.53
"2020-01-13 09:00:00",0.71,0.49
"2020-01-13 10:00:00",0.66,0.19
"2020-01-13 11:00:00",0.58,0.62
