"DateTime","Last Month","This Month"
"2020-02-08 09:00:00",1.51,2.26
"2020-02-08 10:00:00",0.67,0.71
"2020-02-08 11:00:00",0.67,0.67
"2020-02-08 12:00:00",0.67,1.67
"2020-02-08 13:00:00",0.69,2.04
"2020-02-08 14:00:00",0.67,5.01
"2020-02-08 15:00:00",0.8,2.82
"2020-02-08 16:00:00",0.69,1.42
"2020-02-08 17:00:00",0.81,1.53
"2020-02-08 18:00:00",0.98,1.85
"2020-02-08 19:00:00",1,1.9
"2020-02-08 20:00:00",1.95,3.44
"2020-02-08 21:00:00",0.8,1.96
"2020-02-08 22:00:00",0.7,2.97
"2020-02-08 23:00:00",0.84,0.97
"2020-02-09 00:00:00",0.82,1.1
"2020-02-09 01:00:00",0.74,1.46
"2020-02-09 02:00:00",0.62,0.65
"2020-02-09 03:00:00",0.62,0.69
"2020-02-09 04:00:00",0.68,0.74
"2020-02-09 05:00:00",0.69,0.68
"2020-02-09 06:00:00",0.66,0.66
"2020-02-09 07:00:00",0.72,1.21
"2020-02-09 08:00:00",0.61,1.7
"2020-02-09 09:00:00",0.55,0.83
"2020-02-09 10:00:00",0.6,0.79
"2020-02-09 11:00:00",0.59,0.54
"2020-02-09 12:00:00",0.47,0.52
"2020-02-09 13:00:00",0.51,0.92
"2020-02-09 14:00:00",0.67,0.97
"2020-02-09 15:00:00",0.86,1.12
"2020-02-09 16:00:00",1.08,1.17
"2020-02-09 17:00:00",0.88,1.48
"2020-02-09 18:00:00",0.82,2.28
"2020-02-09 19:00:00",0.53,3.23
"2020-02-09 20:00:00",3.25,4.36
"2020-02-09 21:00:00",2.52,0.81
"2020-02-09 22:00:00",1.57,0.69
"2020-02-09 23:00:00",1.2,0.65
"2020-02-10 00:00:00",1.18,0.64
"2020-02-10 01:00:00",0.63,0.54
"2020-02-10 02:00:00",0.56,0.54
"2020-02-10 03:00:00",0.58,0.62
"2020-02-10 04:00:00",0.69,0.65
"2020-02-10 05:00:00",0.63,0.73
"2020-02-10 06:00:00",0.58,0.61
"2020-02-10 07:00:00",0.66,0.52
"2020-02-10 08:00:00",0.77,0.54
"2020-02-10 09:00:00",0.64,0.6
"2020-02-10 10:00:00",0.58,0.56
"2020-02-10 11:00:00",0.64,0.57
"2020-02-10 12:00:00",0.68,0.58
"2020-02-10 13:00:00",0.69,0.57
"2020-02-10 14:00:00",0.72,0.47
"2020-02-10 15:00:00",0.68,0.52
"2020-02-10 16:00:00",0.64,0.56
"2020-02-10 17:00:00",1.76,0.55
"2020-02-10 18:00:00",1.69,0.89
"2020-02-10 19:00:00",1.92,1.69
"2020-02-10 20:00:00",1.49,0.7
"2020-02-10 21:00:00",3.01,2.8
"2020-02-10 22:00:00",0.88,1.61
"2020-02-10 23:00:00",0.76,1.51
"2020-02-11 00:00:00",0.62,1.17
"2020-02-11 01:00:00",0.61,0.64
"2020-02-11 02:00:00",0.7,0.57
"2020-02-11 03:00:00",0.72,0.52
"2020-02-11 04:00:00",0.62,0.56
"2020-02-11 05:00:00",0.62,1.97
"2020-02-11 06:00:00",0.74,1.24
"2020-02-11 07:00:00",1.04,0.58
"2020-02-11 08:00:00",2.11,0.47
"2020-02-11 09:00:00",0.89,0.58
"2020-02-11 10:00:00",1.1,0.56
"2020-02-11 11:00:00",1.01,0.56
"2020-02-11 12:00:00",0.97,0.5
"2020-02-11 13:00:00",1.5,0.58
"2020-02-11 14:00:00",1.45,0.5
"2020-02-11 15:00:00",1.18,0.56
"2020-02-11 16:00:00",1.09,0.45
"2020-02-11 17:00:00",1.22,0.45
